nama,time,gazeX,gazeY,label
Aditya2,2563,1090.675,0.7776,2
Aditya2,2580,1118.611,-0.0366,2
Aditya2,2596,1120.877,-0.0622,2
Aditya2,2613,1060.838,-0.0579,2
Aditya2,2629,1142.4,-0.103,2
Aditya2,2646,1142.611,-0.1082,2
Aditya2,2662,1240.589,-0.0432,2
Aditya2,2678,1272.48,-0.0624,2
Aditya2,2695,1269.734,-0.0462,2
Aditya2,2711,1254.221,-0.0421,2
Aditya2,2728,1240.051,-0.0202,2
Aditya2,2744,1241.875,-0.0307,2
Aditya2,2761,1250.573,-0.0457,2
Aditya2,2777,1213.978,-0.0376,2
Aditya2,2793,1211.539,-0.0234,2
Aditya2,2810,1256.448,-0.0058,2
Aditya2,2826,1247.002,23.22,2
Aditya2,2843,1245.101,34.5168,2
Aditya2,2859,1244.986,-0.0087,2
Aditya2,2876,1219.123,7.8192,2
Aditya2,2892,1222.234,-0.0122,2
Aditya2,2908,787.0848,-0.0207,2
Aditya2,2925,568.6464,5.3352,2
Aditya2,2941,568.6464,5.3352,2
Aditya2,2958,379.5648,33.4044,2
Aditya2,2974,390.7776,32.7024,2
Aditya2,2990,399.936,51.8076,2
Aditya2,3007,404.8896,66.1608,2
Aditya2,3023,399.4752,91.8216,2
Aditya2,3040,399.4752,91.8216,2
Aditya2,3056,419.3472,5.0112,2
Aditya2,3073,394.5024,42.6492,2
Aditya2,3089,387.3216,28.2312,2
Aditya2,3105,340.9344,47.088,2
Aditya2,3122,325.5552,38.7936,2
Aditya2,3138,327.7248,42.552,2
Aditya2,3155,309.984,61.128,2
Aditya2,3171,350.6688,77.6304,2
Aditya2,3187,357.6384,91.3356,2
Aditya2,3204,361.9968,82.2744,2
Aditya2,3220,386.304,45.7164,2
Aditya2,3237,381.2736,35.262,2
Aditya2,3253,369.4848,30.2292,2
Aditya2,3270,351.456,28.6632,2
Aditya2,3286,351.456,28.6632,2
Aditya2,3302,337.9392,41.2236,2
Aditya2,3319,334.5024,61.0956,2
Aditya2,3336,337.8048,66.1824,2
Aditya2,3352,339.072,61.0092,2
Aditya2,3368,353.2224,99.6732,2
Aditya2,3385,358.7712,109.7172,2
Aditya2,3401,401.8368,138.0132,2
Aditya2,3418,438.9312,99.6408,2
Aditya2,3434,431.9808,85.3632,2
Aditya2,3450,238.0992,154.9476,2
Aditya2,3467,191.6928,158.7816,2
Aditya2,3483,179.4048,141.9876,2
Aditya2,3500,246.6624,125.5824,2
Aditya2,3516,223.2384,129.924,2
Aditya2,3533,228.5952,137.7324,2
Aditya2,3549,267.168,133.0668,2
Aditya2,3565,225.1584,174.096,2
Aditya2,3582,225.1584,174.096,2
Aditya2,3598,261.888,157.3668,2
Aditya2,3615,263.712,97.0272,2
Aditya2,3631,266.9376,101.9196,2
Aditya2,3648,204.6144,141.5988,2
Aditya2,3664,242.2848,153.6084,2
Aditya2,3680,254.1696,171.018,2
Aditya2,3697,205.0944,212.274,2
Aditya2,3713,245.6064,197.154,2
Aditya2,3730,242.112,192.456,2
Aditya2,3746,218.976,176.8716,2
Aditya2,3763,210.4128,183.4812,2
Aditya2,3779,210.2784,183.1464,2
Aditya2,3795,226.9248,183.9456,2
Aditya2,3812,205.6128,217.08,2
Aditya2,3828,211.968,225.1692,2
Aditya2,3845,221.8752,223.9812,2
Aditya2,3861,171.84,228.8196,2
Aditya2,3878,155.7504,209.6388,2
Aditya2,3894,199.2,150.0768,2
Aditya2,3911,172.6464,155.8116,2
Aditya2,3927,175.7568,160.164,2
Aditya2,3943,180.0576,134.2548,2
Aditya2,3960,195.5712,163.2096,2
Aditya2,3976,182.016,144.9792,2
Aditya2,3993,171.4752,89.6184,2
Aditya2,4009,171.0912,118.6272,2
Aditya2,4026,169.1328,115.6572,2
Aditya2,4042,142.56,120.69,2
Aditya2,4058,207.3216,127.278,2
Aditya2,4075,220.1856,145.7244,2
Aditya2,4091,229.9968,125.7876,2
Aditya2,4108,272.1984,116.1972,2
Aditya2,4124,274.1184,119.5236,2
Aditya2,4140,251.424,164.1492,2
Aditya2,4157,282.4896,156.9456,2
Aditya2,4173,279.7632,152.3016,2
Aditya2,4190,230.1888,169.2036,2
Aditya2,4206,278.016,166.7736,2
Aditya2,4223,272.9472,159.1272,2
Aditya2,4239,197.7024,151.9452,2
Aditya2,4256,243.648,116.2728,2
Aditya2,4272,245.376,119.61,2
Aditya2,4288,267.2064,94.2516,2
Aditya2,4305,305.472,135.162,2
Aditya2,4321,308.544,139.7736,2
Aditya2,4338,227.2704,170.7588,2
Aditya2,4354,225.8304,186.7968,2
Aditya2,4371,220.3584,179.3232,2
Aditya2,4387,174.816,181.9908,2
Aditya2,4403,184.5888,186.3,2
Aditya2,4420,176.9856,176.3856,2
Aditya2,4436,183.8592,152.928,2
Aditya2,4453,176.6976,128.358,2
Aditya2,4469,178.7136,130.7772,2
Aditya2,4486,207.5328,148.6944,2
Aditya2,4502,226.2144,184.4748,2
Aditya2,4518,239.1936,202.1544,2
Aditya2,4535,211.8144,206.4852,2
Aditya2,4551,241.44,169.7328,2
Aditya2,4568,241.44,169.7328,2
Aditya2,4584,234.432,206.8524,2
Aditya2,4600,229.9584,169.9704,2
Aditya2,4617,233.4336,174.5604,2
Aditya2,4633,224.5248,210.7404,2
Aditya2,4650,200.9664,210.2544,2
Aditya2,4666,207.9552,219.1968,2
Aditya2,4683,258.5856,261.036,2
Aditya2,4699,256.6656,261.7056,2
Aditya2,4716,244.4544,245.8944,2
Aditya2,4732,210.1632,221.3244,2
Aditya2,4748,199.3536,197.2404,2
Aditya2,4765,193.6704,189.8208,2
Aditya2,4781,212.928,203.0076,2
Aditya2,4798,204.1536,209.628,2
Aditya2,4814,204.1536,209.628,2
Aditya2,4830,209.4528,182.8332,2
Aditya2,4847,261.0048,198.18,2
Aditya2,4863,261.0048,198.18,2
Aditya2,4880,295.9488,163.9332,2
Aditya2,4896,260.448,182.736,2
Aditya2,4913,257.28,178.0488,2
Aditya2,4929,193.9584,152.712,2
Aditya2,4945,190.1952,164.2248,2
Aditya2,4962,183.6288,155.5092,2
Aditya2,4978,289.152,114.8364,2
Aditya2,4995,326.976,38.7504,2
Aditya2,5011,339.5712,62.154,2
Aditya2,5028,415.9488,131.328,2
Aditya2,5044,401.3952,135.5076,2
Aditya2,5061,406.4832,145.1628,2
Aditya2,5077,406.464,127.8504,2
Aditya2,5093,424.1856,141.21,2
Aditya2,5110,426.528,145.476,2
Aditya2,5126,427.6032,149.0508,2
Aditya2,5143,432.672,163.5336,2
Aditya2,5159,436.032,171.126,2
Aditya2,5176,405.8688,159.3108,2
